資料,月,版本,TPASS人次,TPASS使用比例%,總使用次數,使用人數,使用人合計日數,天數,平均每日使用次數,單日平均使用次數,全部_僅一次,全部_二至四次,全部_五次以上,全部_僅一次%,全部_五次以上%,TPASS_僅一次,TPASS_二至四次,TPASS_五次以上,TPASS_僅一次%,TPASS_五次以上%
臺東公路,114/01,去重,22346,31.03,72020,16584,44555,31,0.14,1.62,6285,6567,3732,37.9,22.5,137,424,1228,7.7,68.6
臺東公路,114/01,原,22346,31.03,72020,16584,44555,31,0.14,1.62,6285,6567,3732,37.9,22.5,137,424,1228,7.7,68.6
臺東公路,114/02,去重,21890,31.94,68543,15381,41875,28,0.159,1.64,5669,6071,3641,36.9,23.7,151,438,1229,8.3,67.6
臺東公路,114/02,原,21890,31.94,68543,15381,41875,28,0.159,1.64,5669,6071,3641,36.9,23.7,151,438,1229,8.3,67.6
臺東公路,114/03,去重,32117,37.16,86418,16213,52791,31,0.172,1.64,5445,6523,4245,33.6,26.2,147,377,1443,7.5,73.4
臺東公路,114/03,原,32117,37.16,86418,16213,52791,31,0.172,1.64,5445,6523,4245,33.6,26.2,147,377,1443,7.5,73.4
臺東公路,114/04,去重,30026,35.92,83594,17089,51382,30,0.163,1.63,6266,6747,4076,36.7,23.9,142,404,1363,7.4,71.4
臺東公路,114/04,原,30026,35.92,83594,17089,51382,30,0.163,1.63,6266,6747,4076,36.7,23.9,142,404,1363,7.4,71.4
臺東公路,114/05,去重,31039,37.44,82907,15813,50734,31,0.169,1.63,5399,6258,4156,34.1,26.3,118,387,1447,6,74.1
臺東公路,114/05,原,31039,37.44,82907,15813,50734,31,0.169,1.63,5399,6258,4156,34.1,26.3,118,387,1447,6,74.1
臺東公路,114/06,去重,27078,34.93,77517,15559,46621,30,0.166,1.66,5531,6026,4002,35.5,25.7,159,502,1306,8.1,66.4
臺東公路,114/06,原,27078,34.93,77517,15559,46621,30,0.166,1.66,5531,6026,4002,35.5,25.7,159,502,1306,8.1,66.4
臺東公路,114/07,去重,15823,25.76,61430,15407,37683,31,0.129,1.63,5973,6248,3186,38.8,20.7,206,546,909,12.4,54.7
臺東公路,114/07,原,15823,25.76,61430,15407,37683,31,0.129,1.63,5973,6248,3186,38.8,20.7,206,546,909,12.4,54.7
臺東公路,114/08,去重,14398,22.51,63965,17155,39055,31,0.12,1.64,6815,6999,3341,39.7,19.5,197,563,891,11.9,54
臺東公路,114/08,原,14398,22.51,63965,17155,39055,31,0.12,1.64,6815,6999,3341,39.7,19.5,197,563,891,11.9,54
臺東公路,114/09,去重,31027,39.54,78461,14196,47956,30,0.184,1.64,4774,5423,3999,33.6,28.2,172,484,1470,8.1,69.1
臺東公路,114/09,原,31027,39.54,78461,14196,47956,30,0.184,1.64,4774,5423,3999,33.6,28.2,172,484,1470,8.1,69.1
臺東公路,114/10,去重,32689,37.17,87935,16443,53478,31,0.173,1.64,5356,6642,4445,32.6,27,165,492,1574,7.4,70.6
臺東公路,114/10,原,32689,37.17,87936,16443,53478,31,0.173,1.64,5356,6642,4445,32.6,27,165,492,1574,7.4,70.6
